      radius         M_x     M_theta  A_expected    A_actual
     0.80938     0.08264     0.35167     0.99709     0.99709
     0.81250     0.08290     0.34943     0.99719     0.99719
     0.81563     0.08316     0.34716     0.99728     0.99728
     0.81875     0.08342     0.34486     0.99737     0.99737
     0.82188     0.08368     0.34251     0.99746     0.99746
     0.82500     0.08395     0.34013     0.99755     0.99755
     0.82812     0.08421     0.33771     0.99764     0.99764
     0.83125     0.08447     0.33525     0.99772     0.99772
     0.83438     0.08474     0.33274     0.99781     0.99781
     0.83750     0.08500     0.33019     0.99789     0.99789
     0.84063     0.08527     0.32761     0.99797     0.99797
     0.84375     0.08553     0.32497     0.99805     0.99805
     0.84688     0.08580     0.32229     0.99812     0.99812
     0.85000     0.08607     0.31957     0.99820     0.99820
     0.85313     0.08634     0.31679     0.99827     0.99827
     0.85625     0.08661     0.31397     0.99835     0.99835
     0.85938     0.08688     0.31110     0.99842     0.99842
     0.86250     0.08715     0.30817     0.99849     0.99849
     0.86563     0.08743     0.30520     0.99856     0.99856
     0.86875     0.08770     0.30216     0.99862     0.99862
     0.87188     0.08797     0.29907     0.99869     0.99869
     0.87500     0.08825     0.29593     0.99875     0.99875
     0.87813     0.08853     0.29272     0.99881     0.99881
     0.88125     0.08880     0.28945     0.99887     0.99887
     0.88438     0.08908     0.28612     0.99893     0.99893
     0.88750     0.08936     0.28272     0.99899     0.99899
     0.89062     0.08964     0.27925     0.99904     0.99904
     0.89375     0.08992     0.27571     0.99910     0.99910
     0.89688     0.09020     0.27209     0.99915     0.99915
     0.90000     0.09048     0.26840     0.99920     0.99920
     0.90313     0.09077     0.26463     0.99925     0.99925
     0.90625     0.09105     0.26077     0.99930     0.99930
     0.90938     0.09134     0.25682     0.99934     0.99934
     0.91250     0.09162     0.25279     0.99939     0.99939
     0.91563     0.09191     0.24865     0.99943     0.99943
     0.91875     0.09220     0.24442     0.99947     0.99947
     0.92188     0.09248     0.24007     0.99951     0.99951
     0.92500     0.09277     0.23562     0.99955     0.99955
     0.92813     0.09306     0.23105     0.99959     0.99959
     0.93125     0.09336     0.22634     0.99962     0.99962
     0.93438     0.09365     0.22151     0.99966     0.99966
     0.93750     0.09394     0.21653     0.99969     0.99969
     0.94063     0.09424     0.21140     0.99972     0.99972
     0.94375     0.09453     0.20610     0.99975     0.99975
     0.94688     0.09483     0.20062     0.99977     0.99977
     0.95000     0.09512     0.19495     0.99980     0.99980
     0.95312     0.09542     0.18907     0.99982     0.99982
     0.95625     0.09572     0.18295     0.99985     0.99985
     0.95938     0.09602     0.17659     0.99987     0.99987
     0.96250     0.09632     0.16993     0.99989     0.99989
     0.96563     0.09662     0.16296     0.99991     0.99991
     0.96875     0.09692     0.15563     0.99992     0.99992
     0.97188     0.09723     0.14788     0.99994     0.99994
     0.97500     0.09753     0.13964     0.99995     0.99995
     0.97813     0.09784     0.13083     0.99996     0.99996
     0.98125     0.09814     0.12132     0.99997     0.99997
     0.98438     0.09845     0.11093     0.99998     0.99998
     0.98750     0.09876     0.09937     0.99999     0.99999
     0.99063     0.09907     0.08620     0.99999     0.99999
     0.99375     0.09938     0.07049     1.00000     1.00000
     0.99688     0.09969     0.04992     1.00000     1.00000
     1.00000     0.10000    -0.00000     1.00000     1.00000
