 Grid PointsS_ActualS_actualSource Term Error
        1068  -5.7320026842614807E-002  -5.7231093650635709E-002   8.8933191979098658E-005
        1069  -8.4173429156656696E-002  -8.4083604384116273E-002   8.9824772540422759E-005
        1070 -0.11056514144627155      -0.11047452813801681        9.0613308254744451E-005
        1071 -0.13648737055894736      -0.13639607022677960        9.1300332167754128E-005
        1072 -0.16193293843830253      -0.16184105088964984        9.1887548652691553E-005
        1073 -0.18689527483966858      -0.18680289801676703        9.2376822901557576E-005
        1074 -0.21136840898014361      -0.21127563880922337        9.2770170920242201E-005
        1075 -0.23534696018265325      -0.23525389043397202        9.3069748681229303E-005
        1076 -0.25882612757467149      -0.25873284973313621        9.3277841535288619E-005
        1077 -0.28180167890259872      -0.28170828204856285        9.3396854035865395E-005
        1078 -0.30426993852361267      -0.30417650922488032        9.3429298732350397E-005
        1079 -0.32622777463658126      -0.32613439685023188        9.3377786349380099E-005
        1080 -0.34767258581360883      -0.34757934079848352        9.3245015125309472E-005
        1081 -0.36860228689337671      -0.36850925313265065        9.3033760726057846E-005
        1082 -0.38901529429669368      -0.38892254743012356        9.2746866570125874E-005
        1083 -0.40891051082385044      -0.40881812359031094        9.2387233539492630E-005
        1084 -0.42828730999222198      -0.42819535218107679        9.1957811145182422E-005
        1085 -0.44714551997137519      -0.44705405838337386        9.1461588001329197E-005
        1086 -0.46548540717132775      -0.46539450558829859        9.0901583029157074E-005
        1087 -0.48330765953810861      -0.48321737870090814        9.0280837200473751E-005
        1088 -0.50061336960904357      -0.50052376720418024        8.9602404863331486E-005
        1089 -0.51740401737809583      -0.51731514803173606        8.8869346359765622E-005
        1090 -0.53368145301998415      -0.53359336829947246        8.8084720511694137E-005
        1091 -0.54944787951929019      -0.54936062794168983        8.7251577600366836E-005
        1092 -0.56470583524908713      -0.56461946229646476        8.6372952622371102E-005
        1093 -0.57945817654095799      -0.57937272468187506        8.5451859082930071E-005
        1094 -0.59370806028649015      -0.59362356900329338        8.4491283196763689E-005
        1095 -0.60745892660764755      -0.60737543242938807        8.3494178259480023E-005
        1096 -0.62071448163145626      -0.62063201817160429        8.2463459851966903E-005
        1097 -0.63347868040197908      -0.63339727840077986        8.1402001199215590E-005
        1098 -0.64575570996020071      -0.64567539733159884        8.0312628601864056E-005
        1099 -0.65754997262049153      -0.65747077450276237        7.9198117729162298E-005
        1100 -0.66886606946972349      -0.66878800827959906        7.8061190124434354E-005
        1101 -0.67970878411305258      -0.67963187960295079        7.6904510101782897E-005
        1102 -0.69008306668839159      -0.69000733600653263        7.5730681858954263E-005
        1103 -0.69999401816913487      -0.69991947592218950        7.4542246945363821E-005
        1104 -0.70944687497303571      -0.70937353329054886        7.3341682486849358E-005
        1105 -0.71844699389287536      -0.71837486249407423        7.2131398801134061E-005
        1106 -0.72699983736289153      -0.72692892362441486        7.0913738476674482E-005
        1107 -0.73511095907275148      -0.73504126809776149        6.9690974989988774E-005
        1108 -0.74278598993967326      -0.74271752462831819        6.8465311355070391E-005
        1109 -0.75003062444700419      -0.74996338556692765        6.7238880076536667E-005
        1110 -0.75685060735641918      -0.75678459361427841        6.6013742140769160E-005
        1111 -0.76325172079927195      -0.76318692891220097        6.4791887070980714E-005
        1112 -0.76923977175118452      -0.76917619651806357        6.3575233120949370E-005
        1113 -0.77482057989274311      -0.77475821426593239        6.2365626810723107E-005
        1114 -0.77999996585787146      -0.77993880101389379        6.1164843977667971E-005
        1115 -0.78478373987037298      -0.78472376528060561        5.9974589767364250E-005
        1116 -0.78917769076816591      -0.78911889426851611        5.8796499649793610E-005
        1117 -0.79318757541354268      -0.79312994327344177        5.7632140100905005E-005
        1118 -0.79681910848731419      -0.79676262547808541        5.6483009228780467E-005
        1119 -0.80007795266368109      -0.80002260212546195        5.5350538219145484E-005
        1120 -0.80296970916201260      -0.80291547306990596        5.4236092106640932E-005
        1121 -0.80549990867131260      -0.80544676770017765        5.3140971134957304E-005
        1122 -0.80767400264251710      -0.80762193623071432        5.2066411802775825E-005
        1123 -0.80949735494334585      -0.80944634135526317        5.1013588082682304E-005
        1124 -0.81097523387037140      -0.81092525025754691        4.9983612824489043E-005
        1125 -0.81211280451236767      -0.81206382697340040        4.8977538967265311E-005
        1126 -0.81291512145909972      -0.81286712509825687        4.7996360842850194E-005
        1127 -0.81338712184975304      -0.81334008083429032        4.7041015462712110E-005
        1128 -0.81353361875476038      -0.81348750637109291        4.6112383667473722E-005
        1129 -0.81335929488553738      -0.81331408359406276        4.5211291474611670E-005
