 radius M_x M_theta A_expected A_actual vR vTh vX Pr S_1_e S_2_e S_3_e S_4_e S_1_a S_2_a S_3_a S_4_a 
   5.4687500000000000E-002  0.18766164813450620       0.13982235910917598       0.93560051651602782       0.93560053246481101       -1.0818776095305321E-002  0.65064659253662771       0.69331168966561130       0.57153580929500292       -1.6306762720507209       -4.1625310403262741E-002  -3.3821919721446536E-004   6.8974555413106264E-002  -1.6286188113958531       -4.1634122939837565E-002  -3.4409339875589355E-004   6.8981762585726969E-002
   5.8593750000000000E-002  0.18774862405030007       0.14473940532777033       0.93586187402393695       0.93586188990704522       -9.7697479500946649E-003  0.65099449619979843       0.69493763059381553       0.57792974496180449       -1.4723220772375154       -3.6324746836753449E-002  -3.9836754472679731E-004   9.4736164761964892E-002  -1.4699765414994062       -3.6331440785043405E-002  -4.0631782690772963E-004   9.4743351943259224E-002
   6.2500000000000000E-002  0.18788167884736173       0.14949579938558891       0.93612333849374540       0.93612335431110705       -8.7432131917922346E-003  0.65152671538803741       0.69698227250266842       0.58453244128149207       -1.3113829664219987       -3.1484427373627707E-002  -4.8260781675996356E-004  0.11628497963721701       -1.3088251311016279       -3.1489523048598582E-002  -4.9309948253815233E-004  0.11629214829097156     
   6.6406250000000000E-002  0.18808425903440668       0.15410637337829622       0.93638490913186123       0.93638492488340508       -7.7390035896783005E-003  0.65233703613620553       0.69953147254419290       0.59140148980743135       -1.1453612255909924       -2.7043539035960823E-002  -5.9476860797584314E-004  0.13437285052117898       -1.1427477957944348       -2.7047413492626522E-002  -6.0811808879887986E-004  0.13438000212206258     
   7.0312500000000000E-002  0.18839047167721715       0.15858380359802010       0.93664658514337240       0.93664660082902829       -6.7569513300024531E-003  0.65356188670742932       0.70267596246789765       0.59859773183437814      -0.97317420406601618       -2.2952714234222692E-002  -7.3578825104923795E-004  0.14958454253987613      -0.97076681412480070       -2.2955645432704751E-002  -7.5187848338374448E-004  0.14959167857092504     
   7.4218750000000000E-002  0.18884830908378752       0.16293902489363227       0.93690836573205671       0.93690838135175536       -5.7968889813199281E-003  0.65539323633368296       0.70650403020278585       0.60618037945604608      -0.79574445770793278       -1.9171346956893973E-002  -8.9992733918744345E-004  0.16238170816237418      -0.79391977740498021       -1.9173542902924726E-002  -9.1777100683655634E-004  0.16238883011244121     
   7.8125000000000000E-002  0.18952180405346253       0.16718154794603574       0.93717025010039068       0.93717026565406347       -4.8586494596618568E-003  0.65808721621233990       0.71109029623754860       0.61419953315565912      -0.61664546717544544       -1.5665645858547649E-002  -1.0690869289147083E-003  0.17313366809608705      -0.61587343585119925       -1.5667264279329990E-002  -1.0863669591564642E-003  0.17314077745726686     
   8.2031250000000000E-002  0.19048919913490731       0.17131970589108259       0.93743223744955861       0.93743225293713806       -3.9420659935990310E-003  0.66195679653805262       0.71648075465399885       0.62268620916644746      -0.44256024382283987       -1.2407195564585187E-002  -1.2064771465007487E-003  0.18213939764006104      -0.44333202653946557       -1.2408357468650315E-002  -1.2195277439287935E-003  0.18214649590508736     
   8.5937500000000000E-002  0.19183220514865293       0.17536084861680096       0.93769432697946231       0.93769434240088134       -3.0469720892605939E-003  0.66732882059293264       0.72267570092865951       0.63164095801236453      -0.28317953560947018       -9.3718758507455400E-003  -1.2543519823331668E-003  0.18964351675380781      -0.28587958085765308       -9.3726750451296036E-003  -1.2594033306569247E-003  0.18965060541341416     
   8.9843750000000000E-002  0.19361107892729124       0.17931149769532653       0.93795651788872958       0.93795653324392214       -2.1732014953684126E-003  0.67444431570732777       0.72961407286839575       0.64102342514004562      -0.15014332478731182       -6.5390375644664364E-003  -1.1450323573274927E-003  0.19584810879226588      -0.15488995566899177       -6.5395474449209583E-003  -1.1411040482194625E-003  0.19585518933256973     
   9.3750000000000000E-002  0.19582612787118139       0.18317747127892145       0.93821880937472413       0.93821882466362494       -1.3205881683488602E-003  0.68330451148264426       0.73716433275270821       0.65074627235765026       -5.4879456817158792E-002  -3.8908658445898541E-003  -8.3333662164825377E-004  0.20092158454058878       -6.1395833459215510E-002  -3.8911443124286416E-003  -8.2488638751272356E-004  0.20092865844044433     
   9.7656250000000000E-002  0.19838153212714330       0.18696398578394288       0.93848120063355456       0.93848121585609923       -4.8896623758420965E-004  0.69352612850611506       0.74512709741406147       0.66067693123555971       -5.7867931673117878E-003  -1.4118820641099024E-003  -3.4081162793699976E-004  0.20500541885968071       -1.3380707510606271E-002  -1.4119751346470177E-003  -3.3591913983706614E-004  0.20501248758802618     
  0.10156250000000000       0.20108235222811399       0.19067573942683991       0.93874369086008369       0.93874370601620882        3.2183002913502290E-004  0.70432940890941620       0.75325226808444323       0.67064902302200458       -5.8539449630730656E-003   9.1145005722808670E-004   2.2645070795889033E-004  0.20821933269622278       -1.3551510506886189E-002   9.1150557390991499E-004   2.2310769537165327E-004  0.20822639770947848     
  0.10546875000000000       0.20368505032010539       0.19431698142021192       0.93900627924793845       0.93900629433758109        1.1119662598948893E-003  0.71474020127648430       0.76126868440882023       0.68048212800862118       -5.1845364212981346E-002   3.0910391277019370E-003   7.2130474467590414E-004  0.21066532350615103       -5.8644533494316420E-002   3.0912136127959830E-003   7.1320619412015764E-004  0.21067238624558543     
  0.10937500000000000       0.20597928656385714       0.19789156972722302       0.93926896498951840       0.93926898001261683        1.8816080126179413E-003  0.72391714625010573       0.76891935808329059       0.69000527465272232      -0.13534074140049321        5.1374198255629416E-003   1.0354435982153709E-003  0.21243083198374407      -0.14047737267617322        5.1376893229590380E-003   1.0303909012773025E-003  0.21243789387286879     
  0.11328125000000000       0.20784803427639270       0.20140301960484158       0.93953174727600597       0.93953176223249912        2.6309208086381930E-003  0.73139213709810968       0.77599292858660629       0.69907791010412235      -0.24491195868488705        7.0599592699241856E-003   1.1459997639964520E-003  0.21359125357003006      -0.24802306811972130        7.0603043150475912E-003   1.1489172114349099E-003  0.21359831601206827     
