radius      S_expected         S_actual            Error 
  0.322656250000  1.121567717830  1.121554092280  0.000013625550
  0.325000000000  1.129459368049  1.129445742500  0.000013625550
  0.327343750000  1.137269417930  1.137255792380  0.000013625550
  0.329687500000  1.144997865867  1.144984240317  0.000013625550
  0.332031250000  1.152644710256  1.152631084706  0.000013625550
  0.334375000000  1.160209949493  1.160196323943  0.000013625550
  0.336718750000  1.167693581974  1.167679956425  0.000013625550
  0.339062500000  1.175095606096  1.175081980547  0.000013625550
  0.341406250000  1.182416020254  1.182402394705  0.000013625550
  0.343750000000  1.189654822845  1.189641197295  0.000013625550
  0.346093750000  1.196812012263  1.196798386714  0.000013625550
  0.348437500000  1.203887586907  1.203873961357  0.000013625550
  0.350781250000  1.210881545171  1.210867919621  0.000013625550
  0.353125000000  1.217793885452  1.217780259902  0.000013625550
