 i S_real S_imag 
         102 -0.50126774824209130      -0.72652574579552998     
         103 -0.26288747481565211      -0.54523608510574628     
         104  -7.6464613706531126E-002 -0.18646642540244496     
         105   9.7701540131469505E-002 -0.41214005354239047     
         106 -0.19333064849989376      -0.58079171671576657     
         107  0.18176495079413107      -0.22401555337248441     
         108 -0.43551990989138145      -0.64901826681482877     
         109  0.65101737298791984       0.35078617101946474     
         110 -0.44708728971366340      -0.40237094374268456     
         111  0.59355021114115747       0.30872840309620164     
         112 -0.97214633468986178      -0.88703889861544993     
         113   1.0485793093716729       0.74491886072548308     
         114  -1.1382328771468060       -1.0250626987022748     
         115   1.0443062016299323       0.76047846826822918     
         116 -0.52642773123691933      -0.55647517441526018     
         117   1.3252377509286548       0.76268125263709075     
         118  -9.7334166805912337E-002  0.27689167433494744     
         119  0.95442568000385553       0.72644783125671197     
         120  0.52048257767971673       0.88953974144917380     
         121   1.1709957031630280       0.77189261149737987     
         122  0.69433375836024036       0.68374611257435436     
         123  0.31484970664701678      -0.21312329077320014     
         124  0.61828459131771940       0.79130346318252909     
         125   6.1387444699643821E-002  -5.9572121395972143E-002
         126  0.56107447654492892       0.85595979896632668     
         127  0.65737152020275147       0.39380486667382575     
         128  0.41294055926235818       0.40962336075677225     
         129  0.16222103860158660      -0.26915120348020316     
         130   7.4537521592623363E-002  0.16058868774045265     
         131 -0.61855239153757136      -0.62374225165931962     
         132  0.11643322708678636       0.24308177901355843     
         133 -0.65605436942009399      -0.58908560261250309     
         134   2.9988527311173935E-002  0.17735158707253004     
         135 -0.21110039814435358      -0.39678153061263338     
         136  -9.9004724092039725E-002 -0.31631421970161078     
         137 -0.74431864642852719      -0.80577577343969797     
         138  0.11335209054389309      -0.11304997478743221     
         139  -1.2620848589191408E-002 -0.37731164030165687     
         140  0.63010197076177521       0.25775616876127144     
         141 -0.44691177847604757       -1.0803103316600706     
         142   1.0152818766238076       0.76693386085361792     
         143 -0.78453334995560409       -1.0835043109814284     
         144  0.45234679336747186       0.54740938717300680     
         145  -1.3940272561024196       -1.5927705191189663     
         146  0.54419174505998846       0.62539103375163452     
         147 -0.71847201659138915      -0.75114439171139680     
         148  0.61844087505523437       0.67198096345016356     
         149 -0.68784437370824991      -0.68791489448386745     
