 radius M_x M_theta A_expected A_actual vR vTh vX Pr S_1_e S_2_e S_3_e S_4_e S_1_a S_2_a S_3_a S_4_a 
  0.49999999999999994       0.39202663674131638       0.38895326723224244       0.99199901735810347       0.99199896849544700      -0.12241743810962724       -4.9979170014805258E-002  -0.0000000000000000      -0.12241743810962724              (4.25229683908022460E-003,3.5708777389505384)             (-0.14393331578350424,1.2130416189355400)       (-4.65191637674047739E-002,-12.241743810962724)             (-0.34797263095127501,3.4709193989209277)             (0.54231794304387204,-3.6602709407693474)            (-0.14088473274025190,-1.7392077897018781)       (-6.79534408078662482E-003,-12.241743810962724)             (0.19009301525351630,-3.7602292807989581)
  0.52499999999999991       0.39280169968622902       0.37177771314614599       0.99343297057963897       0.99340325055087608      -0.11070727837683181       -4.7482140742786422E-002  -0.0000000000000000      -0.11070727837683181              (4.95954974822501726E-003,3.1267993386481043)              (0.10266591091215155,1.1302072717889957)       (-4.23850991320815843E-002,-11.070727837683181)             (-0.29647727276898045,3.0363571658047017)             (0.51288105377857640,-3.3125734898808821)        (8.39834773784512573E-002,-1.6316274641236772)       (-5.63497706825450990E-003,-11.070727837683181)             (0.21144423126137069,-3.4030156627242847)
  0.54999999999999993       0.39353748278733602       0.31463665047536471       0.99454038867988004       0.99450471740272250       -9.9552897647323113E-002  -4.4984814707533669E-002  -0.0000000000000000       -9.9552897647323113E-002         (9.99008972048777422E-004,2.7263344295252669)              (0.21245591355481314,1.0509392760219651)       (-3.85361963606809244E-002,-9.9552897647323118)             (-0.24580995299491842,2.6445438573297513)             (0.47922131488684760,-2.9737006470495095)             (0.19520204658458878,-1.5247268050853544)       (-4.26196550443795012E-003,-9.9552897647323118)             (0.23241235291988049,-3.0554912192450256)
  0.57499999999999996       0.39423391246693840       0.24456869735208148       0.99523712566357059       0.99521110930420420       -8.8961267045966297E-002  -4.2487207517327048E-002  -0.0000000000000000       -8.8961267045966297E-002        (-4.23947357137528097E-003,2.3610991904982859)             (0.20712659617360776,0.97292731704549895)       (-3.47584218042383611E-002,-8.8961267045966288)             (-0.20250076328201733,2.2872083948159778)             (0.44471893860606748,-2.6510999146010796)             (0.19988105239037762,-1.4208598958376557)       (-3.13772528555298236E-003,-8.8961267045966288)             (0.24645764889542532,-2.7249907102833877)
  0.59999999999999998       0.39489091908264629       0.18077377955433166       0.99562059525408886       0.99560551333623204       -7.8939005997114897E-002  -3.9989334782203831E-002  -0.0000000000000000       -7.8939005997114897E-002        (-8.36332646263628771E-003,2.0267209262034660)             (0.15794271008523952,0.89514188356527191)       (-3.10353010070193412E-002,-7.8939005997114897)             (-0.16746462756974678,1.9600720348997931)             (0.41175474956186453,-2.3481388314157834)             (0.15681976864038091,-1.3210974681060847)       (-2.35175537472816915E-003,-7.8939005997114897)             (0.25265344845475401,-2.4147877227194563)
  0.62500000000000000       0.39550843693434368       0.13007604859412428       0.99581626412805480       0.99580848051773585       -6.9492378087685713E-002  -3.7491212113860958E-002  -0.0000000000000000       -6.9492378087685713E-002        (-1.06001903512430752E-002,1.7218616385275953)             (0.10748706443464934,0.81775838595423456)       (-2.74285950500526253E-002,-6.9492378087685713)             (-0.13889848164150745,1.6618756991454178)             (0.38108733561301311,-2.0650962261151893)             (0.10834942155193647,-1.2253094220063554)       (-1.81035404431414667E-003,-6.9492378087685713)             (0.25278904432274873,-2.1250821654973668)
  0.64999999999999991       0.39608640427075831        9.2374708344239470E-002  0.99591231603019192       0.99590856298262476       -6.0627287152621112E-002  -3.4992855125557422E-002  -0.0000000000000000       -6.0627287152621112E-002        (-1.11613108940878600E-002,1.4461573129809768)        (6.88093510088498977E-002,0.74142026944713324)       (-2.39914315711311499E-002,-6.0627287152621108)             (-0.11501679865636678,1.3923221512493500)             (0.35248974299254687,-1.8012168705148348)        (6.98469229362215505E-002,-1.1328990293115853)       (-1.41664616452805668E-003,-6.0627287152621108)             (0.24863425523026805,-1.8550520322464616)
  0.67499999999999993       0.39662476329563634        6.5354638533735035E-002  0.99595870239938677       0.99595700408779242       -5.2349273585184264E-002  -3.2494279432016743E-002  -0.0000000000000000       -5.2349273585184264E-002        (-1.05557822721634061E-002,1.1991736950962024)        (4.20451902036739489E-002,0.66679749471735295)       (-2.07544299065310633E-002,-5.2349273585184264)        (-9.46675658834844613E-002,1.1510340218635851)             (0.32543532628135985,-1.5557525629142452)        (4.27069522632722715E-002,-1.0432423494215206)       (-1.11205908606913195E-003,-5.2349273585184264)             (0.24132354267003864,-1.6038922361468626)
  0.69999999999999996       0.39712346017352229        4.6739092278376498E-002  0.99598120598077444       0.99598053016903942       -4.4663510874394019E-002  -2.9995500649329349E-002  -0.0000000000000000       -4.4663510874394019E-002       (-9.24911681228524074E-003,0.98013185245097034)        (2.37088800059550922E-002,0.59444027331629001)       (-1.77335907698587501E-002,-4.4663510874394019)       (-7.71712472393616677E-002,0.93728113723764273)             (0.29943927741998122,-1.3282373965941661)       (2.38318139494706829E-002,-0.95583398755292415)       (-8.66539169269144862E-004,-4.4663510874394019)             (0.23151714699290493,-1.3710881118074938)
  0.72499999999999998       0.39758244503514251        3.5335384698714493E-002  0.99599273454163328       0.99599258899574661       -3.7574802371762028E-002  -2.7496534394854930E-002  -0.0000000000000000       -3.7574802371762028E-002       (-7.54892933038256182E-003,0.78791826782231689)        (9.85602570753276418E-003,0.52475647083482690)       (-1.49376610251622730E-002,-3.7574802371762028)       (-6.21082893490350410E-002,0.74999201348458588)             (0.27417304486117566,-1.1184796589041193)       (9.54580242958295161E-003,-0.87030971324994733)       (-6.65118297481592877E-004,-3.7574802371762028)             (0.21961368484252330,-1.1564059132418503)
